Month,PVC,PP,GPPS,PET,PE
2015-01,668,993,1098,868,1069
2015-02,723,1095,1220.5,923,1153.166667
2015-03,778,1198,1343,978,1237.333333
2015-04,838,1383,1623,1068,1451.333333
2015-05,896,1528,1573,1148,1597
2015-06,948,1448,1518,1063,1593.666667
2015-07,938,1323,1398,1028,1512.333333
2015-08,908,1298,1403,958,1473.666667
2015-09,868,1048,1258,898,1322.333333
2015-10,803,1073,1238,918,1307.333333
2015-11,798,1178,1238,928,1389
2015-12,798,1138,1283,913,1412.333333
2016-01,798,1078,1278,848,1330.333333
2016-02,758,948,1238,843,1224.666667
2016-03,758,998,1298,888,1240.333333
2016-04,798,1098,1388,978,1330.333333
2016-05,818,1098,1325,948,1322.333333
2016-06,826,1008,1300,918,1279
2016-07,826,948,1258,893,1201.333333
2016-08,808,978,1238,863,1198
2016-09,796,1018,1243,868,1221.333333
2016-10,813,1028,1178,878,1210.333333
2016-11,828,978,1168,903,1172.333333
2016-12,828,998,1298,913,1178.666667
2017-01,848,1118,1428,998,1256.333333
2017-02,873,1173,1648,1098,1269.666667
2017-03,933,1248,1648,1158,1302
2017-04,948,1273,1428,1018,1270.666667
2017-05,928,1178,1273,998,1224.666667
2017-06,918,1118,1308,1008,1134
2017-07,908,1088,1318,1023,1120.333333
2017-08,908,1148,1293,1123,1140.333333
2017-09,928,1198,1358,1148,1200.333333
2017-10,943,1218,1308,1038,1200.333333
2017-11,918,1138,1293,1038,1150.666667
2017-12,918,1153,1363,1048,1153
2018-01,918,1153,1363,1063,1155.333333
2018-02,938,1198,1423,1098,1173.666667
2018-03,938,1198,1413,1138,1108
2018-04,928,1188,1353,1153,1074
2018-05,918,1188,1328,1208,1074
2018-06,933,1268,1373,1398,1153.666667
2018-07,923,1258,1348,1378,1163.555556
2018-08,898,1258,1358,1353,1144.666667
2018-09,888,1258,1403,1398,1128
2018-10,888,1258,1348,1378,1115.222222
2018-11,858,1238,1268,1208,1102.444444
2018-12,858,1198,1148,1148,1051.333333
2019-01,848,1178,1178,1108,1034.666667
2019-02,838,1168,1218,1128,1011.333333
2019-03,848,1198,1338,1113,1073.555556
2019-04,838,1198,1298,1103,1101.333333
2019-05,858,1218,1273,1068,1125.777778
2019-06,818,1098,1108,988,1034.666667
2019-07,778,1058,1048,948,995.7777778
2019-08,773,1058,1078,948,985.7777778
2019-09,783,1028,1138,908,950.7777778
2019-10,783,998,1098,888,949.1111111
2019-11,758,958,1038,838,907.4444444
2019-12,758,958,1048,838,905.7777778
2020-01,788,978,1098,898,920.7777778
2020-02,788,988,1138,878,935.7777778
2020-03,688,948,978,798,843.5555556
2020-04,658,858,888,763,842.4444444
2020-05,618,798,848,718,783
2020-06,658,818,923,743,817.4444444
2020-07,708,868,948,743,902.4444444
2020-08,728,888,963,713,880.7777778
2020-09,808,878,978,698,873.5555556
2020-10,858,878,978,728,859.1111111
2020-11,898,928,1068,713,926.8888889
2020-12,948,1048,1248,738,1071.333333
2021-01,978,1188,1298,858,1201.888889
2021-02,1093,1438,1598,998,1505.777778
2021-03,1288,1918,1958,1278,1851.888889
2021-04,1438,1958,2148,1368,1988
2021-05,1428,1888,2198,1338,1938
2021-06,1498,1678,1848,1223,1720.777778
2021-07,1498,1648,1678,1148,1614.666667
2021-08,1568,1618,1648,1128,1607.444444
2021-09,1598,1578,1583,1168,1555.777778
2021-10,1668,1598,1648,1328,1580.777778
2021-11,1798,1708,1893,1578,1683.555556
2021-12,1798,1648,1893,1608,1596.333333
2022-01,1718,1668,2028,1573,1618
2022-02,1688,1683,1998,1508,1610.222222
2022-03,1798,1823,2268,1618,1812.444444
2022-04,2003,2048,2498,1728,2061.888889
2022-05,1973,1898,2398,1653,1853.555556
2022-06,1898,1598,2298,1688,1698.555556
2022-07,1763,1423,2448,1728,1491.888889
2022-08,1688,1398,1973,1618,1409.666667
2022-09,1568,1243,1748,1448,1370.222222
2022-10,1568,1283,1748,1398,1386.333333
2022-11,1168,1248,1768,1348,1342.444444
2022-12,1168,1178,1648,1278,1293
2023-01,1198,1128,1698,1198,1182.444444
